"","radians","center","pos_1","pos_2","type","degrees","map_file","PE","object","isFiller","outdoors_response","stimulus","old_new","conf_resp.keys","conf_resp.rt","response","key_resp_2.keys","participant","recog_acc","in_out_resp","in_out_corr_resp","in_out_rt","fixation_prediction","fixation_error","trial_n","age","gender","handedness","location_error","age_group"
"179","2.27088296655593","106.588235294118","196.588235294118","16.5882352941177","low","130.178004452251","maps/google_map_1.png","23.5897691581329","objects/1/1_11.jpg","0.0","indoors","Licorice.jpg","old",6,2.25781172001734,124,"['return']",54,1,"indoors",1,0.609947272809222,NA,NA,77,9,"m","r",6.178004452251,"CH"
"181","5.59585527544351","106.588235294118","286.588235294118","296.647058823529","singletons","320.781512605042","maps/google_map_1.png","None","objects/1/1_118.jpg","0.0","outdoors","DogHouse.jpg","old",6,1.66079326183535,42,"['return']",54,1,"outdoors",1,2.86807922413573,NA,NA,48,9,"m","r",81.218487394958,"CH"
"184","4.6460191006212","106.588235294118","196.588235294118","16.5882352941177","high","266.332305131151","maps/google_map_1.png","159.744069837034","objects/1/1_109.jpg","0.0","outdoors","Camel_Dromedary.jpg","old",6,2.05479444912635,312,"['return']",54,1,"outdoors",1,0.362285131588578,NA,NA,28,9,"m","r",45.667694868849,"CH"
"186","4.09269425270366","106.588235294118","196.588235294118","16.5882352941177","medium","234.613046333331","maps/google_map_1.png","128.024811039213","objects/1/1_129.jpg","0.0","outdoors","LifeJacket_BlueYellow.jpg","old",6,2.0286837478634,267,"['return']",54,1,"outdoors",1,0.373946122126654,NA,NA,86,9,"m","r",32.386953666669,"CH"
"189","4.30509239152059","106.588235294118","196.588235294118","16.5882352941177","high","246.788735819652","maps/google_map_1.png","140.200500525534","objects/1/1_62.jpg","0.0","indoors","RecorderCassette.jpg","old",6,5.44115303410217,52.5,"['return']",54,1,"indoors",1,2.3031963231042,NA,NA,95,9,"m","r",165.711264180348,"CH"
"192","5.00105299879549","106.588235294118","196.588235294118","16.5882352941177","high","286.684566809933","maps/google_map_1.png","179.903668484185","objects/1/1_140.jpg","0.0","outdoors","Outhouse.jpg","old",6,1.76063716411591,261,"['return']",54,1,"outdoors",1,0.540302057517692,NA,NA,75,9,"m","r",25.684566809933,"CH"
"194","1.94503521236199","106.588235294118","196.588235294118","16.5882352941177","low","111.498833829668","maps/google_map_1.png","4.9105985355507","objects/1/1_13.jpg","0.0","outdoors","Bird_Duck.jpg","old",6,1.80803772015497,74.5,"['return']",54,1,"outdoors",1,0.699540100293234,NA,NA,32,9,"m","r",36.998833829668,"CH"
"198","4.89594536276753","106.588235294118","196.588235294118","16.5882352941177","high","280.659288311514","maps/google_map_1.png","174.071053017396","objects/1/1_64.jpg","0.0","indoors","Calculator.jpg","old",1,0.835002838168293,302,"['return']",54,0,"indoors",1,0.28234746796079,NA,NA,31,9,"m","r",21.340711688486,"CH"
"200","2.82482963683069","106.588235294118","196.588235294118","16.5882352941177","medium","161.932909117683","maps/google_map_1.png","55.3446738235652","objects/1/1_114.jpg","0.0","outdoors","Grenade.jpg","old",6,2.42379881977104,313,"['return']",54,1,"indoors",0,4.54728075535968,NA,NA,36,9,"m","r",151.067090882317,"CH"
"203","2.24380435083787","106.588235294118","196.588235294118","16.5882352941177","low","128.625727118095","maps/google_map_1.png","22.0374918239771","objects/1/1_43.jpg","0.0","outdoors","Hangar.jpg","old",6,1.74014207068831,72.5,"['return']",54,1,"outdoors",1,0.639992973068729,NA,NA,7,9,"m","r",56.125727118095,"CH"
"209","2.07389256255167","106.588235294118","196.588235294118","16.5882352941177","low","118.885560910606","maps/google_map_1.png","12.2973256164879","objects/1/1_110.jpg","0.0","indoors","Belt.jpg","old",6,1.96193277253769,74.5,"['return']",54,1,"indoors",1,0.373603264801204,NA,NA,44,9,"m","r",44.385560910606,"CH"
"212","1.52254396471405","106.588235294118","196.588235294118","16.5882352941177","low","87.2795903339262","maps/google_map_1.png","19.3086449601915","objects/1/1_45.jpg","0.0","outdoors","Seashell_AlternateTellin.jpg","old",1,0.921172867761925,67.5,"['return']",54,0,"outdoors",1,1.76062607532367,NA,NA,54,9,"m","r",19.7795903339262,"CH"
"214","3.54391729698036","106.588235294118","196.588235294118","16.5882352941177","medium","203.154494731358","maps/google_map_1.png","96.5662594372406","objects/1/1_88.jpg","0.0","outdoors","Golf_Club.jpg","old",6,1.7773351711221,289,"['return']",54,1,"outdoors",1,0.360968547407538,NA,NA,42,9,"m","r",85.845505268642,"CH"
"216","1.57081239393875","106.588235294118","196.588235294118","16.5882352941177","low","90.046570353177","maps/google_map_1.png","16.5416649409407","objects/1/1_70.jpg","0.0","outdoors","Colosseum.jpg","old",6,2.00226675206795,97.5,"['return']",54,1,"outdoors",1,0.0996646063867956,NA,NA,66,9,"m","r",7.453429646823,"CH"
"220","5.06959010270775","106.588235294118","106.588235294118","338.882352941176","singletons","290.613445378151","maps/google_map_1.png","None","objects/1/1_28.jpg","0.0","outdoors","Boat_Sail.jpg","old",1,1.17639326001517,285,"['return']",54,0,"outdoors",1,0.487989247310907,NA,NA,27,9,"m","r",5.61344537815103,"CH"
"222","5.08872838523923","106.588235294118","196.588235294118","16.5882352941177","high","291.710544376771","maps/google_map_1.png","174.877690917347","objects/1/1_86.jpg","0.0","outdoors","Light_Traffic.jpg","old",6,2.35221930034459,63.5,"['return']",54,1,"outdoors",1,0.414839449105784,NA,NA,67,9,"m","r",131.789455623229,"CH"
